,code,exchange,orderid,direction,offset,price,volume,datetime
0,sn2205,SHFE,0_0_      654863,多,开,344030.0,1,2022-03-31 22:21:28
1,sn2205,SHFE,0_0_     1015787,空,平今,343490.0,1,2022-03-31 23:37:58
2,sn2205,SHFE,0_0_     1019718,空,开,343470.0,1,2022-03-31 23:39:40
3,sn2205,SHFE,0_0_     1124562,多,平今,342200.0,1,2022-04-01 00:38:16
4,sn2205,SHFE,0_0_     1205730,空,开,343820.0,1,2022-04-01 09:06:06
5,sn2205,SHFE,0_0_     1687860,多,平今,344560.0,1,2022-04-01 10:32:33
6,sn2205,SHFE,0_0_     1834250,多,开,343400.0,1,2022-04-01 10:56:45
7,sn2205,SHFE,0_0_     2023427,空,平今,343790.0,1,2022-04-01 11:29:03
8,sn2205,SHFE,0_0_     2025869,多,开,343120.0,1,2022-04-01 13:30:38
9,sn2205,SHFE,0_0_     2128244,空,平今,341890.0,1,2022-04-01 13:45:37
10,sn2205,SHFE,0_0_     2134540,空,开,341870.0,1,2022-04-01 13:46:35
11,sn2205,SHFE,0_0_     2189111,多,平今,341660.0,1,2022-04-01 13:55:22
12,sn2205,SHFE,0_0_     2245280,多,开,341150.00000000006,1,2022-04-01 14:03:51
13,sn2205,SHFE,0_0_     2252348,空,平今,341150.0,1,2022-04-01 14:04:55
14,sn2205,SHFE,0_0_     2271620,多,开,340830.0,1,2022-04-01 14:08:20
15,sn2205,SHFE,0_0_     2321008,空,平今,340130.0,1,2022-04-01 14:16:36
16,sn2205,SHFE,0_0_     2322393,空,开,340190.0,1,2022-04-01 14:16:54
17,sn2205,SHFE,0_0_     2325121,多,平今,340060.0,1,2022-04-01 14:17:38
18,sn2205,SHFE,0_0_     2375303,多,开,341170.0,1,2022-04-01 14:27:06
19,sn2205,SHFE,0_0_     2431378,空,平今,340920.0,1,2022-04-01 14:37:55
20,sn2205,SHFE,0_0_     2448449,空,开,340760.0,1,2022-04-01 14:40:51
21,sn2205,SHFE,0_0_     2457702,多,平今,340510.0,1,2022-04-01 14:42:00
22,sn2205,SHFE,0_0_     2501234,空,开,340010.0,1,2022-04-01 14:49:41
23,sn2205,SHFE,0_0_     2502352,多,平今,339560.0,1,2022-04-01 14:49:55
24,sn2205,SHFE,0_0_     2506075,多,开,338500.0,1,2022-04-01 14:50:15
25,sn2205,SHFE,0_0_     2508473,空,开,338560.0,1,2022-04-01 14:50:30
26,sn2205,SHFE,0_0_     2508840,空,平今,338610.0,1,2022-04-01 14:50:34
27,sn2205,SHFE,0_0_     2510591,多,平今,338510.0,1,2022-04-01 14:50:47
28,sn2205,SHFE,0_0_     2513984,多,开,338810.0,1,2022-04-01 14:51:12
29,sn2205,SHFE,0_0_     2525766,空,平今,339200.0,1,2022-04-01 14:53:05
30,sn2205,SHFE,0_0_     2533610,空,开,339440.0,1,2022-04-01 14:55:52
